0.450000 0.003000 0.737443
0.050000 0.005000 0.685275
0.050000 0.010000 0.679230
0.050000 0.015000 0.670850
0.050000 0.020000 0.671227
0.050000 0.025000 0.666309
0.050000 0.030000 0.661274
0.100000 0.005000 0.700229
0.100000 0.010000 0.694647
0.100000 0.015000 0.688362
0.100000 0.020000 0.683568
0.100000 0.025000 0.678220
0.100000 0.030000 0.675738
0.150000 0.005000 0.713384
0.150000 0.010000 0.706828
0.150000 0.015000 0.699336
0.150000 0.020000 0.697449
0.150000 0.025000 0.692435
0.150000 0.030000 0.686543
0.200000 0.005000 0.715730
0.200000 0.010000 0.711944
0.200000 0.015000 0.705454
0.200000 0.020000 0.701342
0.200000 0.025000 0.697500
0.200000 0.030000 0.694639
0.250000 0.005000 0.725145
0.250000 0.010000 0.718843
0.250000 0.015000 0.711384
0.250000 0.020000 0.706877
0.250000 0.025000 0.703751
0.250000 0.030000 0.700477
0.300000 0.005000 0.724348
0.300000 0.010000 0.720032
0.300000 0.015000 0.710854
0.300000 0.020000 0.711754
0.300000 0.025000 0.702736
0.300000 0.030000 0.704244
0.350000 0.005000 0.726985
0.350000 0.010000 0.721257
0.350000 0.015000 0.715500
0.350000 0.020000 0.711058
0.350000 0.025000 0.703841
0.350000 0.030000 0.704462
0.400000 0.005000 0.727567
0.400000 0.010000 0.719089
0.400000 0.015000 0.718993
0.400000 0.020000 0.708048
0.400000 0.025000 0.707436
0.400000 0.030000 0.704881
0.400000 0.001000 0.744281
0.400000 0.002000 0.740347
0.400000 0.003000 0.736656
0.400000 0.004000 0.731862
0.400000 0.005000 0.730218
0.450000 0.001000 0.745715
0.450000 0.002000 0.741461
0.450000 0.003000 0.738510
0.450000 0.004000 0.732984
0.450000 0.005000 0.733175
0.500000 0.001000 0.745760
0.500000 0.002000 0.741433
0.500000 0.003000 0.739151
0.500000 0.004000 0.731776
0.500000 0.005000 0.732461
0.550000 0.001000 0.741887
0.550000 0.002000 0.735486
0.550000 0.003000 0.735518
0.550000 0.004000 0.732146
0.550000 0.005000 0.730386
0.600000 0.001000 0.736716
0.600000 0.002000 0.732227
0.600000 0.003000 0.729687
0.600000 0.004000 0.723691
0.600000 0.005000 0.725624
0.650000 0.001000 0.722332
0.650000 0.002000 0.719295
0.650000 0.003000 0.716194
0.650000 0.004000 0.712005
0.650000 0.005000 0.713273
0.700000 0.001000 0.697123
0.700000 0.002000 0.692214
0.700000 0.003000 0.694202
0.700000 0.004000 0.688393
0.700000 0.005000 0.690033
